Reporting Library Service,Name,Address 1,Address 2,Address 3,Upper Tier Local Authority,Postcode,Type,Year_Permanently_Closed,Year First Opened,lat,lon
Sefton,Aintree,Altway,Aintree,Merseyside,Sefton,L10 6LF,Static Library,2013,1961,53.482873,-2.937493
Sefton,Birkdale,240-244 Liverpool Road,Birkdale ,Merseyside,Sefton,PR8 4PD,Static Library,2013,1974,53.621122,-3.014212
Sefton,Churchtown,Mill Lane,Churchtown,Merseyside,Sefton,PR9 7PL,Static Library,2013,1920,53.655784,-2.966171
Sefton,College Road,College Road,Great Crosby,Merseyside,Sefton,L23 3DP,Static Library,2013,1905,53.486153,-3.032496
Sefton,Litherland,Linacre Road,Litherland,Merseyside,Sefton,L21 6NR,Static Library,2013,1937,53.466949,-3.000155
Sefton,Orrell,Linacre Lane,Orrell,Merseyside,Sefton,L20 6ES,Static Library,2013,1955,53.462646,-2.978093
Sefton,Ainsdale,Liverpool road,Ainsdale,Merseyside,Sefton,PR8 4PD,Static Library,2013,1929,53.621122,-3.014212
Sunderland,Doxford Park,Mill Hill Road,Sunderland,Tyne and Wear,Sunderland,SR3 2ND,Static Library,2013,,54.867358,-1.414513
Sunderland,Easington Lane,High Street,Sunderland,Tyne and Wear,Sunderland,DH5 0JW,Static Library,2013,,54.808507,-1.437425
Sunderland,East Herrington,Atlantis Road,Sunderland,Tyne and Wear,Sunderland,SR3 3PF,Static Library,2013,,54.875837,-1.434291
Sunderland,Fence Houses,Britannia Terrace,Fence Houses,Tyne and Wear,Sunderland,DH4 6HL,Static Library,2013,,54.842607,-1.500436
Sunderland,Monkwearmouth,Church Street North,Sunderland,Tyne and Wear,Sunderland,SR6 0DR,Static Library,2013,,54.915179,-1.3773
Sunderland,Silksworth,Beckwith Mews,Silksworth,Tyne and Wear,Sunderland,SR3 1HN,Static Library,2013,,54.874213,-1.403131
Sunderland,Southwick,Beaumont Street,Sunderland,Tyne and Wear,Sunderland,SR5 2JR,Static Library,2013,,54.921048,-1.402703
Sunderland,Washington Green,The Green,Washington,Tyne and Wear,Sunderland,NE38 7AB,Static Library,2013,,54.903625,-1.516087
Sutton,Carshalton Library,The Square,Carshalton,Greater London,Sutton,SM5 3BN,Static Library,2013,,51.364239,-0.161484
Trafford,Greatstone,Greatstone Road,Stretford,Greater Manchester,Trafford,M32 0ZS,Static Library,2013,,53.458347,-2.292675
Barnsley,Central,Shambles Street,Barnsley ,South Yorkshire,Barnsley,S70 2JF,Static Library,2014,1975,,
Bromley,Anerley Library,"Anerley Town Hall, Anerley Road",Bromley,Greater London,Bromley,SE20 8BD,Static Library,2014,,51.412115,-0.067501
East Riding Of Yorkshire,Anlaby,North Street,Anlaby,East Riding of Yorkshire,East Riding Of Yorkshire,HU10 7DE,Static Library,2014,,53.746746,-0.433147
Luton,Sundon Park,Hill Rise,Luton,Bedfordshire,Luton,LU3 3EE,Static Library,2014,,51.916271,-0.466108
Luton,Wigmore,Wigmore Lane,Luton,Bedfordshire,Luton,LU2 8DJ,Static Library,2014,,,
Manchester,Crumpsall & Cheetham Library,Cheetham Hill Road,Crumpsall,Greater Manchester ,Manchester,M8 9JN,Static Library,2014,,53.51146,-2.244317
North East Lincolnshire,Nunsthorpe Library,"Nunsthorpe Community Campus, Sutcliffe Avenue ",Grimsby,NE Lincolnshire,North East Lincolnshire,DN33 1AW,Static Library,2014,,53.549799,-0.103016
North East Lincolnshire,Willows Library,Binbrook Way,Grimsby ,NE Lincolnshire,North East Lincolnshire,DN37 9AS,Static Library,2014,,53.568792,-0.12568
North Tyneside,Wallsend Library,Ferndale Avenue,Wallsend,Tyne and Wear,North Tyneside,NE28 7NB,Static Library,2014,1966,,
Rochdale,Wheatsheaf Library,"Wheatsheaf Centre, Baillie Street ",Rochdale,Greater Manchester,Rochdale,OL16 1JZ,Static Library,2014,1992,53.618498,-2.155639
Stockton-on-Tees,Billingham Library,Bedale Avenue,Billingham,Stockton-on-Tees,Stockton-on-Tees,TS23 1AJ,Static Library,2014,,54.596608,-1.289752
Stockton-on-Tees,Rosebery Library,The Causeway,Billingham,Stockton-on-Tees,Stockton-on-Tees,TS23 2LB,Static Library,2014,,,
Stockton-on-Tees,Roseworth Library,Redhill Road,Stockton,Stockton-on-Tees,Stockton-on-Tees,TS19 9BX,Static Library,2014,,54.58806,-1.342002
Stockton-on-Tees,Thornaby Library,Westbury Street,Thornaby,Stockton-on-Tees,Stockton-on-Tees,TS17 6PG,Static Library,2014,,54.554886,-1.29966
Stoke-on-Trent,Trentham Library,Trently Road,Stoke-on-Trent,Staffordshire ,Stoke-on-Trent,ST4 8PH,Static Library,2014,,52.969439,-2.193601
Barnsley,Kendray,Thornton Road,Barnsley,South Yorkshire,Barnsley,S70 3NG,Static Library,2015,2000,53.541997,-1.455603
Bradford,Girlington Library,Willow Street,Bradford,West Yorkshire,Bradford,BD8 9LT,Static Library,2015,,53.800092,-1.785847
Bury,Sedgley Park library,St Gabriel's Church Community Room,Prestwich,Greater Manchester,Bury,M25 0HT,Static Library,2015,,53.520825,-2.265789
Bury,South Cross Street library,90 South Cross Street,Bury ,Greater Manchester,Bury,BL9 0RS,Static Library,2015,,53.59045,-2.288675
Cornwall,Roche Micro,Threemilestone,Truro,Cornwall,Cornwall,TR4 9LD,Static Library,2015,,50.261693,-5.123058
Greenwich,East Greenwich Library,Woolwich Road,East Greenwich,,Greenwich,SE10 0RL,Static Library,2015,,51.486558,0.016306
Hampshire,Grayshott,Headley Road,Grayshott,Hampshire,Hampshire,GU26 6TZ,Static Library,2015,,51.110537,-0.748095
Harrow,Bob Lawrence,"6-8 North Parade, Mollison Way",Edgware,Greater London ,Harrow,HA8 5QH,Static Library,2015,,51.598152,-0.278668
Harrow,Hatch End,Uxbridge Road,Hatch End,Greater London ,Harrow,HA5 4EA,Static Library,2015,,51.608479,-0.362504
Harrow,Rayners Lane,226 Imperial Drive,Harrow,Greater London ,Harrow,HA2 7HJ,Static Library,2015,,51.576249,-0.370157
Lancashire,Wheatley Lane,Wheatley Close,Fence,Lancashire ,Lancashire,BB12 9QH,Static Library,2015,,53.833454,-2.259747
